name,wc,n_fights,tier_label,tier_score,best_rank,ever_champion,max_defenses,dual_weight_champ,is_incumbent,win_rate,reach_cm,ko_rate,sig_per_r,sig_acc,str_def,leg_pct,clinch_pct,body_per_r,td_per_r,td_avg_acc,td_def,sub_rate,ctrl_per_r,gnp_per_r,pct_reach,pct_striking_power,pct_striking_volume,pct_striking_accuracy,pct_striking_defense,pct_leg_kicks,pct_clinch,pct_body,pct_td_frequency,pct_td_accuracy,pct_td_defense,pct_submission,pct_control,pct_ground_pound,x,y,z
Martin Buday,Heavyweight,8,D,37,12.0,False,0.0,False,False,0.8888888888888888,195.58,0.0,20.1429,0.5209,0.5608,0.1395,0.253,4.380952380952381,0.0476,20.0,0.9333,0.125,64.1905,0.5714,4.28,2.21,8.14,8.35,6.07,5.1,8.98,8.0,1.69,2.24,9.76,6.62,6.75,2.05,-0.5601,-1.1714,-0.0291
Martin Kampmann,Welterweight,17,D+,44,6.0,False,0.0,False,False,0.7407407407407407,182.88,0.1176,13.7222,0.4237,0.6205,0.0344,0.2227,2.4166666666666665,0.5278,41.0,0.7846,0.2941,75.4444,2.3611,3.42,4.63,4.57,4.01,8.74,1.36,8.44,4.36,6.88,6.28,8.46,9.19,7.51,6.9,0.4785,0.7359,1.2876
Marvin Eastman,Light Heavyweight,5,E,9,,False,0.0,False,False,0.5454545454545454,185.42,0.0,7.6667,0.3467,0.4206,0.2609,0.7101,2.2222222222222223,0.2222,33.0,0.8182,0.0,33.0,0.0,1.96,2.21,1.53,1.58,1.41,8.89,10.0,3.89,3.84,4.25,8.86,3.07,3.63,1.03,0.5096,-2.2345,-1.5624
Marvin Vettori,Middleweight,18,C+,56,2.0,False,0.0,False,False,0.6785714285714286,187.96,0.0,23.6129,0.4588,0.5608,0.1189,0.0581,2.3548387096774195,0.4677,45.0,0.6852,0.1111,55.1774,1.6452,4.24,2.21,9.19,5.73,6.07,4.19,2.4,4.19,6.41,7.18,6.61,6.35,5.98,5.08,-0.7804,-1.1564,1.4948
Maryna Moroz,Women's Strawweight,12,D+,43,7.0,False,0.0,False,False,0.6470588235294118,170.18,0.0,21.3548,0.336,0.5187,0.0861,0.0876,6.129032258064516,0.2258,24.0,0.4286,0.1667,60.2903,2.0968,9.21,2.21,8.63,1.41,3.98,2.74,3.88,9.37,3.92,2.63,2.43,7.58,6.46,6.3,-0.161,0.0735,1.204
Mason Jones,Lightweight,7,E,14,,False,0.0,False,False,0.8947368421052632,187.96,0.1429,28.4737,0.4283,0.5091,0.0795,0.1553,6.526315789473684,1.1053,55.0,0.7391,0.0,81.0,3.7895,8.63,5.23,9.8,4.23,3.44,2.53,6.79,9.51,9.46,8.74,7.69,3.07,7.84,8.85,-0.1651,-0.7766,2.1581
Mateusz Gamrot,Lightweight,13,C,48,5.0,False,0.0,False,False,0.8928571428571429,177.8,0.2308,14.6471,0.5155,0.6009,0.0964,0.0643,2.0,1.5882,36.0,0.8333,0.1538,88.5294,2.6765,2.99,7.43,5.24,8.21,8.08,3.15,2.69,3.29,9.88,5.09,9.07,7.29,8.42,7.52,0.6199,0.5875,1.2331
Mateusz Rebecki,Lightweight,8,E,15,,False,0.0,False,False,0.8695652173913043,167.64,0.125,23.5714,0.4692,0.5456,0.1535,0.0545,3.761904761904762,0.9048,65.0,0.5333,0.125,75.0476,3.4286,1.09,4.77,9.17,6.17,5.28,5.69,2.22,7.09,9.02,9.39,3.69,6.62,7.49,8.52,-0.615,-0.1402,1.279
Matheus Nicolau,Flyweight,11,C,47,5.0,False,0.0,False,False,0.76,167.64,0.0909,15.1111,0.5191,0.6577,0.1397,0.0098,5.074074074074074,0.3704,43.0,0.9048,0.0909,39.7407,1.8519,3.98,4.07,5.5,8.31,9.63,5.12,1.05,8.72,5.61,6.76,9.65,5.95,4.47,5.72,-1.0613,-0.3129,-0.2842
Matt Brown,Welterweight,30,C,47,5.0,False,0.0,False,False,0.5777777777777777,190.5,0.4333,15.5075,0.5544,0.5511,0.0943,0.2656,4.626865671641791,0.4627,46.0,0.6387,0.0667,53.1045,2.6418,7.34,9.48,5.75,9.21,5.59,3.08,9.13,8.31,6.38,7.38,5.53,5.53,5.8,7.45,0.1304,1.2892,-0.0216
Matt Frevola,Lightweight,12,D,34,14.0,False,0.0,False,False,0.6875,180.34,0.25,14.1667,0.3967,0.5673,0.1471,0.1118,2.7083333333333335,0.625,39.0,0.3793,0.0,37.7083,2.6667,4.92,7.69,4.91,2.77,6.44,5.45,5.04,5.03,7.66,5.75,2.08,3.07,4.23,7.51,0.0131,-0.1653,0.1352
Matt Grice,Featherweight,7,E,11,,False,0.0,False,False,0.75,177.8,0.0,19.3846,0.5339,0.5608,0.0913,0.2341,2.5384615384615383,0.6923,37.0,0.8235,0.0,141.4615,9.6154,4.38,2.21,7.86,8.77,6.07,2.93,8.7,4.64,8.04,5.32,8.95,3.07,9.81,9.99,1.6707,-1.5253,-0.1297
Matt Hamill,Light Heavyweight,15,E,12,,False,0.0,False,False,0.6,193.04,0.3333,16.7941,0.4242,0.614,0.1419,0.0963,0.6764705882352942,0.9118,34.0,0.9167,0.0,63.5294,3.7647,5.81,8.71,6.54,4.04,8.52,5.22,4.23,1.19,9.03,4.58,9.7,3.07,6.62,8.81,0.2678,0.0219,1.4221
Matt Hughes,Welterweight,25,A+,90,,True,5.0,False,False,0.8333333333333334,185.42,0.32,10.4118,0.5503,0.5446,0.0942,0.0866,2.2941176470588234,0.9216,50.0,0.3529,0.2,147.3125,6.5098,4.61,8.53,2.66,9.14,5.23,3.07,3.82,4.04,9.07,8.05,1.9,8.21,9.85,9.83,2.3616,1.3222,-0.8231
Matt Lindland,Middleweight,12,E,12,,False,0.0,False,False,0.7096774193548387,187.96,0.25,10.6667,0.5199,0.5049,0.2014,0.3646,1.4814814814814814,1.0,48.0,0.6471,0.0833,172.037,5.2963,4.24,7.69,2.74,8.32,3.2,7.31,9.78,2.34,9.28,7.72,5.71,5.84,9.95,9.56,2.8691,0.0311,-0.4058
Matt Mitrione,Heavyweight,14,D,36,12.0,False,0.0,False,False,0.7058823529411765,208.28,0.5714,13.6087,0.5008,0.646,0.1917,0.0958,1.2173913043478262,0.0,0.0,0.5517,0.0,16.7826,2.087,8.4,9.83,4.52,7.68,9.39,7.02,4.21,1.92,1.29,1.28,3.97,3.07,2.08,6.27,-1.0415,1.2693,-0.4228
Matt Schnell,Flyweight,16,D+,43,7.0,False,0.0,False,False,0.6538461538461539,177.8,0.0,16.8667,0.4032,0.5525,0.1502,0.085,2.1666666666666665,0.1667,40.0,0.4348,0.1875,17.0667,1.5,8.81,2.21,6.58,3.08,5.66,5.57,3.73,3.76,3.1,6.01,2.49,7.92,2.11,4.71,-0.3225,-0.3086,0.2515
Matt Serra,Welterweight,14,B,61,,True,0.0,False,False,0.6111111111111112,172.72,0.1429,9.5143,0.3978,0.4651,0.1502,0.1772,3.2,0.6571,20.0,0.3871,0.0714,98.6857,2.1714,1.12,5.23,2.27,2.85,2.13,5.57,7.46,6.04,7.86,2.24,2.14,5.63,8.9,6.5,0.7743,-0.4829,1.3042
Matt Wiman,Lightweight,18,E,13,,False,0.0,False,False,0.6153846153846154,172.72,0.1111,13.925,0.5009,0.5109,0.1831,0.2496,1.725,0.625,37.0,0.561,0.1667,90.6,4.275,1.38,4.47,4.76,7.69,3.54,6.72,8.94,2.75,7.66,5.32,4.12,7.58,8.49,9.18,1.6263,-0.0694,0.1504
Matthew Lopez,Bantamweight,6,D,35,13.0,False,0.0,False,False,0.7142857142857143,175.26,0.1667,14.1333,0.5096,0.5538,0.1085,0.033,3.2,1.0,60.0,0.7143,0.0,68.6667,3.6667,5.79,5.94,4.89,7.99,5.71,3.7,1.51,6.04,9.28,9.12,7.18,3.07,7.08,8.74,1.3901,-0.5863,0.0238
