fighter,wc,tier_label,tier_weight,ever_champion,win_rate,n_rounds,cluster,distance_ratio,clinch_ratio,ground_ratio,head_ratio,body_ratio,leg_ratio,str_accuracy,td_per_round,td_accuracy,ctrl_per_round,sub_per_round,kd_per_round,output_per_round
Justin Gaethje,Lightweight,B,3.0,True,0.6923076923076923,41,4,0.8406779661016949,0.12457627118644068,0.03474576271186441,0.6457627118644068,0.11101694915254237,0.24322033898305084,0.5853174603174603,0.0975609756097561,0.4,17.195121951219512,0.0,0.21951219512195122,49.170731707317074
Justin Ledet,Light Heavyweight,D,1.0,False,0.42857142857142855,15,0,0.9541284403669725,0.04128440366972477,0.0045871559633027525,0.9311926605504587,0.05963302752293578,0.009174311926605505,0.38998211091234347,0.06666666666666667,0.5,10.0,0.06666666666666667,0.0,37.266666666666666
Justin Scoggins,Flyweight,D,1.0,False,0.4444444444444444,22,3,0.6183844011142061,0.10584958217270195,0.2757660167130919,0.6573816155988857,0.20612813370473537,0.13649025069637882,0.5172910662824207,1.0454545454545454,0.6388888888888888,99.72727272727273,0.13636363636363635,0.045454545454545456,31.545454545454547
Justin Tafa,Heavyweight,E,0.0,False,0.4,16,2,0.8461538461538461,0.11764705882352941,0.03619909502262444,0.583710407239819,0.28054298642533937,0.13574660633484162,0.5443349753694581,0.0,0.0,16.5625,0.0,0.25,25.375
Justine Kish,Women's Flyweight,D,1.0,False,0.42857142857142855,21,2,0.8507462686567164,0.11300639658848614,0.03624733475479744,0.43710021321961623,0.2302771855010661,0.3326226012793177,0.48102564102564105,0.2857142857142857,0.3333333333333333,33.57142857142857,0.047619047619047616,0.047619047619047616,46.42857142857143
Kai Kara-France,Flyweight,C+,2.0,False,0.6666666666666666,34,2,0.8595505617977528,0.02247191011235955,0.11797752808988764,0.6390449438202247,0.14606741573033707,0.2148876404494382,0.4024872809496891,0.17647058823529413,0.3,24.323529411764707,0.0,0.23529411764705882,52.029411764705884
Kailin Curran,Women's Strawweight,E,0.0,False,0.14285714285714285,18,1,0.6375,0.24375,0.11875,0.628125,0.25625,0.115625,0.4383561643835616,0.6111111111111112,0.5789473684210527,100.72222222222223,0.16666666666666666,0.0,40.55555555555556
Kajan Johnson,Lightweight,E,0.0,False,0.5714285714285714,19,2,0.7175925925925926,0.07407407407407407,0.20833333333333334,0.5138888888888888,0.2175925925925926,0.26851851851851855,0.4294234592445328,0.47368421052631576,0.375,42.526315789473685,0.05263157894736842,0.10526315789473684,26.473684210526315
Kamaru Usman,Welterweight,A+,8.0,True,0.875,71,3,0.5733522324592487,0.1686746987951807,0.2579730687455705,0.6350106307583274,0.28632175761871015,0.07866761162296244,0.518940787054064,0.8873239436619719,0.4405594405594406,124.08450704225352,0.028169014084507043,0.14084507042253522,38.29577464788732
Karine Silva,Women's Flyweight,D+,0.0,False,0.625,18,1,0.7614213197969543,0.15228426395939088,0.08629441624365482,0.4213197969543147,0.22842639593908629,0.350253807106599,0.3971774193548387,0.6666666666666666,0.5454545454545454,66.22222222222223,0.4444444444444444,0.05555555555555555,27.555555555555557
Karl Roberson,Middleweight,E,0.0,False,0.4,19,1,0.5865384615384616,0.15865384615384615,0.2548076923076923,0.6105769230769231,0.1778846153846154,0.21153846153846154,0.5148514851485149,0.21052631578947367,0.4,45.578947368421055,0.15789473684210525,0.05263157894736842,21.263157894736842
Karo Parisyan,Welterweight,E,0.0,False,0.6153846153846154,32,3,0.424,0.18933333333333333,0.38666666666666666,0.864,0.06133333333333333,0.07466666666666667,0.41482300884955753,1.65625,0.5955056179775281,110.90625,0.3125,0.0,28.25
Karol Rosa,Women's Bantamweight,D+,0.0,False,0.6666666666666666,36,2,0.7998111425873465,0.10576015108593012,0.09442870632672333,0.5845136921624173,0.1274787535410765,0.28800755429650615,0.5600211528291908,0.3888888888888889,0.4827586206896552,87.22222222222223,0.05555555555555555,0.05555555555555555,52.52777777777778
Karolina Kowalkiewicz,Women's Strawweight,C+,2.0,False,0.47368421052631576,52,2,0.7898134863701578,0.18149210903873744,0.028694404591104734,0.6111908177905309,0.2654232424677188,0.12338593974175036,0.42984890533456677,0.11538461538461539,0.23076923076923078,30.0,0.057692307692307696,0.0,62.36538461538461
